epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,486.527,1.27234,0.80056,1.34851,0.91245,0.93897,0.9716,0.54418,1.54498,0.92762,1.57875,0.00628101,0.00628101,0.00628101
44,493.885,1.32504,0.84096,1.34124,0.88921,0.87387,0.91548,0.50431,1.61367,0.90643,1.66386,0.00612981,0.00612981,0.00612981
45,501,1.34611,0.88727,1.42652,0.8422,0.82883,0.825,0.44594,1.67038,1.08405,1.68841,0.00597754,0.00597754,0.00597754
46,508.504,1.38345,0.86004,1.43183,0.94054,0.85504,0.91862,0.50737,1.70082,0.95189,1.71317,0.00582435,0.00582435,0.00582435
47,514.918,1.32292,0.84051,1.38142,0.93298,0.90991,0.96675,0.55596,1.57744,0.68494,1.60798,0.0056704,0.0056704,0.0056704
48,522.612,1.30132,0.84345,1.37658,0.86254,0.93694,0.88429,0.499,1.57305,0.90446,1.59532,0.00551584,0.00551584,0.00551584
49,530.187,1.28321,0.81586,1.38081,0.89656,0.96396,0.94344,0.50887,1.70857,0.83183,1.70051,0.00536081,0.00536081,0.00536081
50,537.57,1.29995,0.79678,1.32522,0.91476,0.98198,0.97307,0.60618,1.42498,0.70736,1.53945,0.00520548,0.00520548,0.00520548
51,545.108,1.3169,0.83515,1.35571,0.92445,0.92793,0.96966,0.55093,1.55104,0.69634,1.59858,0.00505,0.00505,0.00505
52,557.283,1.28804,0.84119,1.33682,0.95132,0.95495,0.97777,0.58306,1.41865,0.64598,1.49978,0.00489452,0.00489452,0.00489452
53,577.127,1.31766,0.82609,1.38918,0.91106,0.95495,0.96999,0.51882,1.66633,0.70732,1.65645,0.00473919,0.00473919,0.00473919
54,590.466,1.27184,0.76617,1.36759,0.91452,0.96387,0.97303,0.56644,1.48887,0.63234,1.5292,0.00458416,0.00458416,0.00458416
55,603.263,1.27588,0.78524,1.37441,0.88301,0.952,0.96787,0.56481,1.43105,0.68626,1.51169,0.0044296,0.0044296,0.0044296
56,616.647,1.35245,0.81902,1.41844,0.94636,0.93694,0.98198,0.55649,1.61172,0.65877,1.61037,0.00427565,0.00427565,0.00427565
57,629.953,1.29299,0.76498,1.36198,0.93893,0.96952,0.9806,0.52564,1.71984,0.73156,1.70514,0.00412246,0.00412246,0.00412246
58,641.965,1.28341,0.84964,1.34722,0.93936,0.83741,0.90516,0.45874,1.82409,1.09557,1.79749,0.00397019,0.00397019,0.00397019
59,650.655,1.26899,0.81607,1.34606,0.93239,0.87387,0.93281,0.49929,1.63909,0.84514,1.64658,0.00381899,0.00381899,0.00381899
60,659.799,1.30782,0.77901,1.3989,0.95294,0.95495,0.97667,0.47335,1.94292,0.69235,1.8881,0.00366899,0.00366899,0.00366899
61,668.876,1.30128,0.77133,1.34276,0.96299,0.95495,0.97652,0.5551,1.53615,0.61171,1.57156,0.00352037,0.00352037,0.00352037
62,679.385,1.24323,0.77028,1.36351,0.93543,0.86486,0.92909,0.45874,1.76343,0.95705,1.74278,0.00337325,0.00337325,0.00337325
63,691.291,1.2628,0.75141,1.33816,0.92221,0.9009,0.95631,0.52202,1.5838,0.79872,1.592,0.00322778,0.00322778,0.00322778
64,701.895,1.25589,0.76742,1.34013,0.94611,0.94902,0.97003,0.57103,1.48217,0.63522,1.52401,0.00308412,0.00308412,0.00308412
65,713.614,1.17736,0.69908,1.28124,0.94476,0.92455,0.96494,0.56881,1.4651,0.69278,1.51928,0.00294239,0.00294239,0.00294239
66,724.833,1.26342,0.78283,1.36866,0.91812,0.94595,0.95894,0.54462,1.53877,0.78197,1.58844,0.00280275,0.00280275,0.00280275
67,735.215,1.23447,0.68936,1.30005,0.94873,0.95495,0.97625,0.55196,1.57197,0.69187,1.59806,0.00266532,0.00266532,0.00266532
68,745.881,1.19315,0.69822,1.32233,0.95517,0.92793,0.97771,0.50416,1.77901,0.65251,1.74168,0.00253024,0.00253024,0.00253024
69,759.659,1.2022,0.72279,1.2875,0.95535,0.96377,0.97631,0.58867,1.5245,0.60834,1.55718,0.00239766,0.00239766,0.00239766
70,774.35,1.20078,0.69135,1.33053,0.9537,0.96396,0.97428,0.58969,1.42289,0.65926,1.50453,0.00226769,0.00226769,0.00226769
71,783.378,1.2675,0.72086,1.34645,0.95536,0.96392,0.97734,0.56888,1.51289,0.61575,1.54341,0.00214046,0.00214046,0.00214046
72,795.457,1.24945,0.7018,1.30599,0.95804,0.93694,0.97967,0.55965,1.59978,0.62876,1.60688,0.00201611,0.00201611,0.00201611
73,809.789,1.23194,0.70198,1.33125,0.96792,0.95495,0.98213,0.56261,1.59841,0.59935,1.59208,0.00189475,0.00189475,0.00189475
74,836.058,1.19205,0.683,1.29654,0.95538,0.9644,0.98226,0.56627,1.62838,0.58503,1.60776,0.00177651,0.00177651,0.00177651
75,852.467,1.28607,0.68327,1.33401,0.94725,0.97071,0.97882,0.57304,1.5369,0.57113,1.54604,0.00166149,0.00166149,0.00166149
76,864.877,1.21835,0.66594,1.30484,0.96327,0.94502,0.98156,0.6033,1.41548,0.55355,1.47618,0.00154982,0.00154982,0.00154982
77,879.583,1.19624,0.69554,1.32907,0.97203,0.90991,0.97702,0.55455,1.62699,0.60921,1.61962,0.00144161,0.00144161,0.00144161
78,893.469,1.21828,0.66857,1.30919,0.95376,0.9292,0.98059,0.52974,1.72106,0.60794,1.68037,0.00133695,0.00133695,0.00133695
79,906.269,1.19298,0.66879,1.33565,0.94582,0.96396,0.98132,0.56886,1.56711,0.5945,1.57071,0.00123596,0.00123596,0.00123596
80,916.899,1.20633,0.6911,1.28622,0.92313,1,0.98126,0.58249,1.52599,0.57967,1.54796,0.00113873,0.00113873,0.00113873
81,929.818,1.19926,0.70664,1.28882,0.91347,0.98198,0.97871,0.55101,1.63254,0.59025,1.62972,0.00104537,0.00104537,0.00104537
82,946.077,1.2245,0.6808,1.32877,0.93034,0.93694,0.96682,0.53088,1.68313,0.62963,1.65395,0.000955951,0.000955951,0.000955951
83,959.352,1.18242,0.67025,1.27894,0.93583,0.93694,0.97592,0.55541,1.62726,0.5841,1.60216,0.000870577,0.000870577,0.000870577
84,971.706,1.22662,0.71508,1.3109,0.93485,0.99099,0.98228,0.58473,1.51196,0.57023,1.52291,0.000789327,0.000789327,0.000789327
