epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3761.27,1.01564,0.53913,1.15399,0.94393,0.95495,0.97232,0.65478,1.20304,0.53907,1.45203,0.0011882,0.0011882,0.0011882
43,3827.5,1.01837,0.56681,1.16099,0.9143,0.96109,0.97641,0.63505,1.22335,0.55548,1.45267,0.0011684,0.0011684,0.0011684
44,3894.62,1.00756,0.53124,1.14145,0.95724,0.88288,0.95716,0.63495,1.17664,0.58215,1.41744,0.0011486,0.0011486,0.0011486
45,3959.27,1.02891,0.53811,1.1326,0.96001,0.87387,0.93755,0.63901,1.19309,0.67151,1.42299,0.0011288,0.0011288,0.0011288
46,4022.83,0.99337,0.54601,1.13809,0.9532,0.85586,0.93851,0.64553,1.17091,0.71804,1.44252,0.001109,0.001109,0.001109
47,4088.21,1.02782,0.51232,1.16414,0.9322,0.8671,0.94406,0.62917,1.18451,0.61667,1.42742,0.0010892,0.0010892,0.0010892
48,4152.92,0.99179,0.50854,1.13594,0.97018,0.89189,0.95174,0.63311,1.21079,0.59197,1.44988,0.0010694,0.0010694,0.0010694
49,4216.94,1.00831,0.51762,1.13472,0.89816,0.95347,0.9588,0.6064,1.32712,0.67007,1.57037,0.0010496,0.0010496,0.0010496
50,4283.86,1.00342,0.51729,1.13745,0.93037,0.91892,0.97022,0.65481,1.20019,0.57858,1.44059,0.0010298,0.0010298,0.0010298
51,4353.75,0.9871,0.55649,1.13266,0.95184,0.9009,0.97723,0.65291,1.19105,0.54627,1.44639,0.00101,0.00101,0.00101
52,4439.68,0.99781,0.4988,1.13934,0.90071,0.98074,0.98028,0.64208,1.25438,0.54661,1.52318,0.0009902,0.0009902,0.0009902
53,4504.59,0.97032,0.4862,1.11905,0.9317,0.92793,0.9748,0.65208,1.22168,0.53175,1.45617,0.0009704,0.0009704,0.0009704
54,4565.49,1.00361,0.51083,1.12816,0.94394,0.95495,0.97871,0.64544,1.20357,0.50738,1.5,0.0009506,0.0009506,0.0009506
55,4630.06,0.94397,0.48656,1.10753,0.92811,0.97297,0.98298,0.66201,1.21411,0.49544,1.4727,0.0009308,0.0009308,0.0009308
56,4688.1,0.95128,0.46913,1.10895,0.96221,0.91761,0.98062,0.67865,1.15572,0.50425,1.43308,0.000911,0.000911,0.000911
57,4751.64,0.93591,0.46629,1.08272,0.91987,0.97297,0.98454,0.69364,1.13813,0.51518,1.3969,0.0008912,0.0008912,0.0008912
58,4815.15,0.97851,0.51169,1.11779,0.94532,0.93451,0.98049,0.64104,1.25894,0.51764,1.54372,0.0008714,0.0008714,0.0008714
59,4875.32,0.95598,0.55717,1.13511,0.92233,0.96283,0.98447,0.67447,1.17669,0.5257,1.42575,0.0008516,0.0008516,0.0008516
