epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,461.832,1.34018,0.85251,1.44765,0.91231,0.93728,0.95199,0.4965,1.54987,0.77608,1.54557,0.000826728,0.000826728,0.000826728
43,472.423,1.35675,0.82507,1.37825,0.91339,0.95005,0.97084,0.56882,1.37469,0.73898,1.47081,0.00081873,0.00081873,0.00081873
44,482.922,1.30242,0.78438,1.35957,0.95369,0.95495,0.97835,0.52487,1.57645,0.66729,1.56758,0.000810593,0.000810593,0.000810593
45,493.848,1.34895,0.78274,1.43099,0.91626,0.97297,0.97806,0.51357,1.61103,0.71744,1.57764,0.000802319,0.000802319,0.000802319
46,505.042,1.27957,0.79972,1.41735,0.88882,0.97297,0.94811,0.52774,1.51047,0.65162,1.49421,0.000793913,0.000793913,0.000793913
47,515.733,1.25248,0.76708,1.33032,0.87858,0.98198,0.96834,0.4817,1.63876,0.66209,1.57644,0.000785378,0.000785378,0.000785378
48,526.681,1.27678,0.75015,1.38009,0.90689,0.96528,0.97918,0.49745,1.62231,0.72177,1.55844,0.000776718,0.000776718,0.000776718
49,537.542,1.25782,0.75212,1.38261,0.92914,0.96396,0.98156,0.48567,1.68198,0.62148,1.59974,0.000767937,0.000767937,0.000767937
50,548.38,1.26066,0.76467,1.38611,0.93496,0.96396,0.96629,0.52368,1.5443,0.60372,1.54596,0.000759038,0.000759038,0.000759038
51,558.779,1.32659,0.78369,1.39975,0.91779,0.96396,0.97231,0.50816,1.6268,0.64385,1.58567,0.000750025,0.000750025,0.000750025
52,569.492,1.32594,0.74341,1.4259,0.91542,0.97501,0.97443,0.54362,1.50144,0.58832,1.48275,0.000740903,0.000740903,0.000740903
53,580.287,1.33347,0.78665,1.40429,0.97184,0.93283,0.97229,0.58821,1.35487,0.57576,1.3874,0.000731675,0.000731675,0.000731675
54,590.543,1.30133,0.75797,1.40089,0.95443,0.92793,0.97358,0.56131,1.43679,0.59574,1.44431,0.000722345,0.000722345,0.000722345
55,600.901,1.36428,0.7568,1.38087,0.9371,0.93954,0.97322,0.55367,1.46502,0.74171,1.46639,0.000712918,0.000712918,0.000712918
56,610.896,1.26507,0.82384,1.3829,0.95453,0.94565,0.9748,0.59047,1.31707,0.7106,1.40437,0.000703398,0.000703398,0.000703398
57,621.279,1.30607,0.78807,1.38356,0.93167,0.98273,0.97706,0.54626,1.45459,0.6025,1.49256,0.000693788,0.000693788,0.000693788
58,632.097,1.22414,0.7267,1.31522,0.93234,0.94595,0.97659,0.59429,1.34117,0.62164,1.43039,0.000684094,0.000684094,0.000684094
59,642.55,1.32091,0.79866,1.42495,0.9545,0.94494,0.97118,0.57766,1.38568,0.66886,1.43506,0.000674319,0.000674319,0.000674319
60,652.642,1.24305,0.80219,1.37001,0.92502,1,0.98106,0.53826,1.54287,0.74421,1.54162,0.000664467,0.000664467,0.000664467
61,663.053,1.2845,0.8467,1.34562,0.94678,0.98198,0.98559,0.57195,1.41718,0.70024,1.45856,0.000654543,0.000654543,0.000654543
